Date:,Mon 26 Sep 2022 07:49:17 PM EDT,,,,,,,,,,,
Tool:,Eeschema 6.0.7-f9a2dced07~116~ubuntu20.04.1,,,,,,,,,,,
Component Count:,60,,,,,,,,,,,
,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,
,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MANUFACTURER,STANDARD,Spice_Lib_File,Spice_Model,Spice_Netlist_Enabled,Spice_Primitive
,,SW2,SW_SPDT,Switch:SW_SPDT,Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm,~,,,,,,
,,SW3,SW_SP3T,Switch:SW_SP3T,Connector_Wire:SolderWire-0.5sqmm_1x04_P4.6mm_D0.9mm_OD2.1mm,~,,,,,,
,,T1,FS28-200-C2,FS28-200-C2:FS28-200-C2,FS28-200-C2:TRANSFORMER_FS28-200-C2,,Triad,Manufacturer Recommendations,,,,
,,U1,LM7812_TO220,Regulator_Linear:LM7812_TO220,Package_TO_SOT_THT:TO-220-3_Vertical,https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF,,,,LM7812,Y,X
,,U2,NE555P,Timer:NE555P,Package_DIP:DIP-8_W7.62mm,http://www.ti.com/lit/ds/symlink/ne555.pdf,,,,NE555,Y,X
,,U3,NE555P,Timer:NE555P,Package_DIP:DIP-8_W7.62mm,http://www.ti.com/lit/ds/symlink/ne555.pdf,,,,NE555,Y,X
,,U4,NE555P,Timer:NE555P,Package_DIP:DIP-8_W7.62mm,http://www.ti.com/lit/ds/symlink/ne555.pdf,,,,NE555,Y,X
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,
,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MANUFACTURER,STANDARD,Spice_Lib_File,Spice_Model,Spice_Netlist_Enabled,Spice_Primitive
1,1,C1,470uF,Device:C_Polarized_US,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,~,,,,470u,Y,C
2,11,"C2, C4, C5, C7, C8, C9, C10, C11, C13, C14, C15",0.1uF,Device:C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,,,0.1u,Y,C
3,1,C3,10uF,Device:C_Polarized_US,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,~,,,,10u,Y,C
4,1,C6,0.33uF,Device:C,Capacitor_THT:C_Disc_D6.0mm_W4.4mm_P5.00mm,~,,,,,,
5,1,C12,10uF,Device:C,Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm,~,,,,10u,Y,C
6,1,C16,15pF,Device:C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,,,,,
7,1,D1,1N4148,Diode:1N4007,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,http://www.vishay.com/docs/88503/1n4001.pdf,,,/media/nick/3TB_HDD/College Documents/Personal/Coil Labs Files/kicad_spice_library/Models/Diode/DIODE2.lib,1N4007,Y,D
8,2,"D2, D3",1N4007,Diode:1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88503/1n4001.pdf,,,/media/nick/3TB_HDD/College Documents/Personal/Coil Labs Files/kicad_spice_library/Models/Diode/DIODE2.lib,1N4007,Y,D
